,id,time,text,image_link,image_flag,video_link,video_flag,products,product_flag
10,SKECHERS_1618156942,2021-04-11,Keep your style sharp and comfortable 👞 #MarkNason #sleek #style #mens #shoes #MarkNasonLosAngeles,['https://scontent-iad3-1.xx.fbcdn.net/v/t1.6435-0/p526x296/169458783_10157556673977587_9133909216338982628_n.jpg?_nc_cat=103&ccb=1-3&_nc_sid=9e2e56&_nc_ohc=gEyWBrtliiwAX-Dy6nD&_nc_ht=scontent-iad3-1.xx&tp=6&oh=f845dbed312cf7f4342798bbe075eb3d&oe=60DD562A'],Yes,,No,['https://www.facebook.com/commerce/products/3041930692592052/'],Yes
11,SKECHERS_1618070795,2021-04-10,180 degrees of warm weather style! ☀️🙌🏻🌺 #Skechers # #summer #style,['https://scontent-iad3-1.xx.fbcdn.net/v/t1.6435-0/p235x350/171944753_10157554412357587_5098454787654162629_n.jpg?_nc_cat=110&ccb=1-3&_nc_sid=9e2e56&_nc_ohc=lrzgLCBrN90AX9vPofG&_nc_ht=scontent-iad3-1.xx&tp=6&oh=eb2ddd6e555cd538271514f762c006bb&oe=60DC09F0'],Yes,,No,['https://www.facebook.com/commerce/products/3433538686756940/'],Yes
12,SKECHERS_1617984872,2021-04-09,The pick of the season! 🌼🍃 💛🧡❤️👟 #Skechers # #spring #cute #shoes,['https://scontent-iad3-1.xx.fbcdn.net/v/t1.6435-0/p235x350/171930150_10157552413227587_3302362175983531628_n.jpg?_nc_cat=101&ccb=1-3&_nc_sid=9e2e56&_nc_ohc=aQ4BIlgHCTQAX8ggYtS&_nc_ht=scontent-iad3-1.xx&tp=6&oh=aebcde3220c5af459ee93c509c2ffd02&oe=60DDCF27'],Yes,,No,[],No
13,SKECHERS_1617914460,2021-04-08,BARK up the right tree! The cutest multicolored Bobs slip-ons are #ComingSoon 👟🐾 #Skechers #bobsfromSkechers #slipons #comfort,['https://scontent-iad3-1.xx.fbcdn.net/v/t1.6435-0/p526x296/170755608_10157551010457587_2676548016207133190_n.jpg?_nc_cat=108&ccb=1-3&_nc_sid=9e2e56&_nc_ohc=j8Taf_SldoIAX_GRdED&_nc_ht=scontent-iad3-1.xx&tp=6&oh=3cd11aaaa75ef23432b2fede234cf5af&oe=60DB45C1'],Yes,,No,[],No
14,SKECHERS_1617897870,2021-04-08,"Everyday comfy, totally cute 👖👟 #Skechers #everyday #essentials #comfort #cute #SkechersStyle",['https://scontent-iad3-1.xx.fbcdn.net/v/t1.6435-0/p526x296/170535635_10157550506672587_6330814289547920735_n.jpg?_nc_cat=103&ccb=1-3&_nc_sid=9e2e56&_nc_ohc=gE60uF2ROOEAX8G76rm&_nc_ht=scontent-iad3-1.xx&tp=6&oh=830ad9d4b3196ed2cd63c657c2594152&oe=60DCA55D'],Yes,,No,[],No
15,SKECHERS_1617825725,2021-04-07,"🚨 Calling All Junior Golfers! 🚨 Want to meet Elite golfer Brooke Henderson ?
Here’s how: https://www.skechers.com/m/meet-elite
1). Tell us why!...

See More",['https://scontent-iad3-1.xx.fbcdn.net/v/t1.6435-0/s640x640/169991912_10157548924322587_4005162828518665975_n.jpg?_nc_cat=103&ccb=1-3&_nc_sid=8024bb&_nc_ohc=2mm8PZnBiWwAX8gGVM4&_nc_ht=scontent-iad3-1.xx&tp=7&oh=dda33f73a151c2ae05ba9936ea3640df&oe=60DBC4F4'],Yes,,No,[],No
16,SKECHERS_1617811288,2021-04-07,"Whether you're a little bit casual or a little bit glam, step into some Seuss style with Green Eggs and Ham! Available now. 💙❤️📚🍳🍖 #SkechersxDrSeuss #GreenEggsAndHam #SeussStories #itsFunToHaveFun #DrSeuss",['https://scontent-iad3-1.xx.fbcdn.net/v/t1.6435-0/p526x296/170250891_10157548607782587_6429763040551599010_n.jpg?_nc_cat=111&ccb=1-3&_nc_sid=9e2e56&_nc_ohc=DYGCyT3F4ZAAX8D0ul3&_nc_ht=scontent-iad3-1.xx&tp=6&oh=ece2576719cdc537c7c586b687949e11&oe=60DDA0D8'],Yes,,No,[],No
17,SKECHERS_1617724869,2021-04-06,Shine bright from head to toe! 👟🌴🌸💗 @natalygrace_ 🥰 @danianalanyphotography #Skechers #girls #fashion #kidsfashion #SkechersStyle,['https://scontent-iad3-1.xx.fbcdn.net/v/t1.6435-0/s600x600/168874130_10157546504347587_5120551942334224718_n.jpg?_nc_cat=100&ccb=1-3&_nc_sid=9e2e56&_nc_ohc=LJ_RfG5eA6oAX9pQRED&_nc_ht=scontent-iad3-1.xx&tp=7&oh=e0c9c34ce30e72b14a0784045da7d417&oe=60DD3585'],Yes,,No,[],No
18,SKECHERS_1617638464,2021-04-05,Kick things up a notch in vibrant sneaks that are dripping in style 🙌🏼🔥💙💓 #Skechers #sneakers #bright #streetstyle #SkechersStyle,['https://scontent-iad3-1.xx.fbcdn.net/v/t1.6435-0/p235x350/169625249_10157544429822587_6854715327469486855_n.jpg?_nc_cat=109&ccb=1-3&_nc_sid=9e2e56&_nc_ohc=tf6qCixPWfIAX9qEHsr&_nc_ht=scontent-iad3-1.xx&tp=6&oh=6a0da046d7465f271c2dc92bbe1ec8ca&oe=60DE9F33'],Yes,,No,[],No
19,SKECHERS_1617466037,2021-04-03,Style that you can call on 💗👟 #Skechers #UNO #thinkpink #comfort #SkechersStyle,['https://scontent-iad3-1.xx.fbcdn.net/v/t1.6435-0/p526x296/169096018_10157540201027587_3062756574862342008_n.jpg?_nc_cat=109&ccb=1-3&_nc_sid=9e2e56&_nc_ohc=ypxo5g8CyQcAX9k8Nvz&_nc_oc=AQmO0Sy4a2-U7qkYJGujo-QMBg9CNB32wNNFIwTPidv_EYbIIrOQwxYAe21AdC0EtL4&_nc_ht=scontent-iad3-1.xx&tp=6&oh=1eb1f0e674424c6ab4ad4d627cce372b&oe=60DD429A'],Yes,,No,[],No
